Source,Type,Target,Weight
Делибалт Домника Филипповна,Undirected,Делибалт Павел Петрович,1
Делибалт Домника Филипповна,Undirected,Сталин Иосиф Виссарионович,1
Делибалт Павел Петрович,Undirected,Сталин Иосиф Виссарионович,1
Калинин Михаил Иванович,Undirected,Сталин Иосиф Виссарионович,1
Политотдел 2,Undirected,Сталин Иосиф Виссарионович,1
Сталин Иосиф Виссарионович,Undirected,китайские рабочие,1
